Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
48,2.0,0.0,0.0,1147.0,8.0,82.0,5689.0,0.1,756.0,0.0,0.0,1325.0097415447235,,,,,,,,,,,,,,,,,,,,,353.5436795852686,225.5937325289782,728.4656210504879,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,1220.0,9.0,73.0,5762.0,0.1,594.0,0.0,0.0,1332.31955575943,,,,,,,,,,,,,,,,,,,,,250.05028368788956,189.55259324270799,576.8995514942206,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,1281.0,10.0,61.0,5823.0,0.1,384.0,0.0,0.0,1338.5288362503052,,,,,,,,,,,,,,,,,,,,,132.71257831539452,126.42607840561631,376.6574710073044,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,1407.0,11.0,126.0,5949.0,0.1,1124.0,0.0,0.0,1350.7833499908447,,,,,,,,,,,,,,,,,,,,,496.5809067444971,335.74584542514356,1063.5568559051478,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1504.0,12.0,97.0,6046.0,0.1,897.0,0.0,0.0,1360.2726771831512,,,,,,,,,,,,,,,,,,,,,416.28583324681273,265.171492876043,858.336088015001,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1653.0,13.0,149.0,6195.0,0.1,1417.0,0.0,0.0,1374.650146484375,,,,,,,,,,,,,,,,,,,,,656.7912372377892,399.7977762473074,1321.7803445603456,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1705.0,14.0,52.0,6247.0,0.1,393.0,0.0,0.0,1379.931060552597,,,,,,,,,,,,,,,,,,,,,159.16847308510646,129.4960217123825,385.4938415889106,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,2239.0,15.0,534.0,6781.0,0.1,5033.0,0.0,0.0,1431.8564627170563,,,,,,,,,,,,,,,,,,,,,2037.940740370693,1197.677162388442,3952.640973948973,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,2730.0,16.0,491.0,7272.0,0.1,4513.0,0.0,0.0,1479.0339753627777,,,,,,,,,,,,,,,,,,,,,1937.1460238177583,1035.2047868078266,3568.995724759275,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,3117.0,17.0,387.0,7659.0,0.1,3743.0,0.0,0.0,1516.7443614006042,,,,,,,,,,,,,,,,,,,,,1616.8312656189178,932.7856712507318,3123.5302371495422,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,3177.0,18.0,60.0,7719.0,0.1,509.0,0.0,0.0,1522.7123456001282,,,,,,,,,,,,,,,,,,,,,225.36732128890642,161.13677691670534,496.4704050623853,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,3357.0,19.0,180.0,7899.0,0.1,1691.0,0.0,0.0,1540.5505378246307,,,,,,,,,,,,,,,,,,,,,764.9296555087437,475.4468320136793,1556.4239534914564,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,3702.0,20.0,345.0,8244.0,0.1,3314.0,0.0,0.0,1573.889153957367,,,,,,,,,,,,,,,,,,,,,1442.5894781039597,847.8767711825835,2821.947703513461,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
